danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.516,0.144,-18.858,1,0.992,0.952,0.115,0.433,134.688,guitar
0.599,0.613,-4.61,1,0.831,0.0272,0.102,0.669,86.326,guitar
0.791,0.379,-11.202,0,0.665,0.811,0.0941,0.81,165.111,guitar
0.402,0.202,-16.526,1,0.437,0.0,0.0536,0.412,119.614,guitar
0.321,0.0386,-24.641,0,0.958,0.961,0.297,0.0917,127.956,guitar
0.624,0.702,-5.583,1,0.75,0.00053,0.0953,0.787,103.863,guitar
0.423,0.0266,-26.967,1,0.963,0.957,0.112,0.526,129.686,guitar
0.49,0.0614,-24.953,1,0.979,0.848,0.111,0.232,114.609,guitar
0.64,0.0675,-23.425,1,0.964,0.926,0.111,0.327,158.678,guitar
0.575,0.122,-18.595,1,0.983,0.857,0.0876,0.213,86.118,guitar
0.605,0.153,-14.901,0,0.977,0.865,0.102,0.261,111.086,guitar
0.599,0.0455,-21.333,1,0.97,0.946,0.112,0.146,112.894,guitar
0.508,0.228,-13.729,1,0.895,0.000559,0.0967,0.445,79.675,guitar
0.58,0.47,-8.787,0,0.933,0.743,0.098,0.738,202.376,guitar
0.41,0.382,-8.346,0,0.861,0.0,0.353,0.159,88.196,guitar
0.384,0.917,-5.764,1,1.1e-05,0.927,0.101,0.48,162.128,guitar
0.48,0.187,-21.758,1,0.723,0.867,0.0928,0.34,104.242,guitar
0.377,0.185,-19.942,1,0.943,0.768,0.0961,0.105,117.955,guitar
0.737,0.786,-6.722,0,0.525,2.65e-05,0.271,0.851,88.924,guitar
0.583,0.719,-7.465,0,0.387,0.0,0.269,0.592,82.004,guitar
0.467,0.392,-14.282,1,0.023,0.913,0.107,0.038,135.0,guitar
0.602,0.476,-7.278,1,0.854,0.372,0.103,0.301,118.417,guitar
0.392,0.331,-13.412,1,0.546,0.953,0.112,0.17,150.156,guitar
0.727,0.473,-9.352,1,0.414,0.0,0.129,0.858,113.401,guitar
0.699,0.634,-5.768,1,0.825,0.866,0.0886,0.68,118.12,guitar
0.668,0.494,-5.136,1,0.85,0.0,0.101,0.362,72.007,guitar
0.708,0.322,-6.942,1,0.897,0.805,0.0525,0.538,80.0,guitar
0.608,0.15,-20.03,0,0.482,0.924,0.094,0.519,83.865,guitar
0.524,0.264,-12.993,1,0.925,0.0,0.166,0.664,135.782,guitar
0.109,0.00209,-29.252,1,0.964,0.991,0.127,0.033,78.872,guitar
